NSE:ABSLBANETF,Nifty Bank
NSE:ABSLLIQUID,Aditya Birla Sun Life CRISIL Overnight Fund AI ETF
NSE:ABSLNN50ET,Nifty Next 50
NSE:ABSLPSE,Aditya Birla Sun Life Nifty PSE ETF
NSE:ALPHA,NIFTY Alpha 50 Index
NSE:ALPHAETF,Mirae Asset Nifty 200 Alpha 30 ETF
NSE:ALPL30IETF,Nifty Alpha Low-Volatility 30 Index
NSE:AUTOBEES,Nifty Auto TRI
NSE:AUTOIETF,Nifty Auto Index
NSE:AXISBPSETF,Nifty AAA Bond Plus SDL Apr 2026 50:50 Index
NSE:AXISGOLD,Gold
NSE:AXISILVER,Axis Silver ETF
NSE:BANKBEES,Nifty Bank
NSE:BANKIETF,Nifty Bank
NSE:BANKNIFTY1,Nifty Bank
NSE:BFSI,Nifty Financial Services Index
NSE:BSE500IETF,S&P BSE 500 index
NSE:BSLGOLDETF,Gold
NSE:BSLNIFTY,Nifty 50
NSE:COMMOIETF,ICICI Prudential Nifty Commodities ETF
NSE:CONSUMBEES,Nifty India Consumption TRI
NSE:CONSUMIETF,Nifty India Consumption Index
NSE:CPSEETF,CPSE ETF
NSE:DIVOPPBEES,Nifty Dividend Opportunities 50 TRI
NSE:EBBETF0430,Nifty BHARAT Bond
NSE:EBBETF0433,BHARAT Bond ETF-April 2033
NSE:EGOLD,Edelweiss Gold ETF
NSE:ESG,NIFTY100 ESG SECTOR LEADERS
NSE:ESILVER,Edelweiss Silver ETF
NSE:EVINDIA,Nifty EV and New Age Automotive Total Return Index
NSE:FINIETF,ICICI Prudential Nifty Financial Services Ex-Bank ETF
NSE:FMCGIETF,Nifty FMCG Index
NSE:GILT5YBEES,Nifty 5 yr Benchmark G-Sec Index
NSE:GOLD1,Gold
NSE:GOLDBEES,Gold
NSE:GOLDCASE,Zerodha Gold ETF
NSE:GOLDETF,Mirae Asset Gold ETF
NSE:GOLDETFADD,DSP Gold ETF
NSE:GOLDIETF,Gold
NSE:GOLDSHARE,Gold
NSE:HDFCBSE500,HDFC S&P BSE 500 ETF
NSE:HDFCGOLD,Gold
NSE:HDFCGROWTH,HDFC NIFTY Growth Sectors 15 ETF
NSE:HDFCLOWVOL,HDFC NIFTY100 Low Volatility 30 ETF
NSE:HDFCMID150,HDFC NIFTY Midcap 150 ETF
NSE:HDFCMOMENT,HDFC NIFTY200 Momentum 30 ETF
NSE:HDFCNEXT50,HDFC NIFTY NEXT 50 ETF
NSE:HDFCNIF100,HDFC NIFTY 100 ETF
NSE:HDFCNIFBAN,Nifty Bank
NSE:HDFCNIFIT,HDFC NIFTY IT ETF
NSE:HDFCNIFTY,Nifty 50
NSE:HDFCPSUBK,HDFC NIFTY PSU BANK ETF
NSE:HDFCPVTBAN,HDFC NIFTY Private Bank ETF
NSE:HDFCSENSEX,SENSEX
NSE:HDFCSILVER,HDFC Silver ETF
NSE:HDFCSML250,HDFC NIFTY Smallcap 250 ETF
NSE:HDFCVALUE,HDFC NIFTY50 Value 20 ETF
NSE:HEALTHIETF,Nifty Healthcare Index
NSE:HEALTHY,Nifty Healthcare TRI
NSE:HNGSNGBEES,Hang Seng Index
NSE:ICICIB22,S&P BSE BHARAT 22 index
NSE:INFRABEES,Nifty Infra
NSE:INFRAIETF,ICICI Prudential Nifty Infrastructure ETF
NSE:IT,NIFTY IT Index
NSE:ITBEES,Nifty IT TRI
NSE:ITETF,Mirae Asset Nifty IT ETF
NSE:ITIETF,Nifty IT Index
NSE:JUNIORBEES,Nifty Next 50
NSE:LICNETFGSC,GSEC10 NSE Index
NSE:LIQUID,Mirae Asset Nifty 1D Rate Liquid ETF
NSE:LIQUID1,Kotak Nifty 1D Rate Liquid ETF
NSE:LIQUIDADD,DSP S&P BSE Liquid Rate ETF
NSE:LIQUIDBEES,Government Securities
NSE:LIQUIDCASE,Zerodha Nifty 1D Rate Liquid ETF
NSE:LIQUIDETF,Nifty1D rate index
NSE:LIQUIDIETF,S&P BSE Liquid Rate Index
NSE:LIQUIDSBI,SBI NIFTY 1D Rate ETF
NSE:LOWVOL1,Kotak Nifty 100 Low Vol 30 ETF
NSE:LOWVOLIETF,Nifty 100 Low Volatility 30 Index
NSE:LTGILTBEES,NIFTY 8-13 yr G-Sec Index
NSE:MAFANG,NYSE FANG+ Total Return Index
NSE:MAHKTECH,Hang Seng TECH Total Return Index
NSE:MAKEINDIA,Nifty India Manufacturing Total Return Index
NSE:MASPTOP50,S&P 500 Top 50 Total Return Index
NSE:MID150BEES,Nifty Midcap 150 TRI
NSE:MID150CASE,Zerodha Nifty Midcap 150 ETF
NSE:MIDCAP,Nifty Midcap 50 Index
NSE:MIDCAPETF,Mirae Asset Mutual Fund - Mirae Asset Nifty Midcap 150 ETF
NSE:MIDCAPIETF,Nifty Midcap 150
NSE:MIDQ50ADD,Nifty Midcap 150 Quality 50 Index
NSE:MIDSELIETF,S&P BSE Midcap Select Index
NSE:MIDSMALL,Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF
NSE:MNC,Kotak Nifty MNC ETF
NSE:MOHEALTH,Motilal Oswal S&P BSE Healthcare ETF
NSE:MOLOWVOL,Nifty Midcap 100 TRI
NSE:MOM100,Nifty Midcap 100
NSE:MOM30IETF,ICICI Prudential Nifty 200 Momentum 30 ETF
NSE:MOMENTUM,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF
NSE:MOMOMENTUM,Nifty 200 Momentum 30 Total Return Index
NSE:MON100,Nasdaq100
NSE:MONIFTY500,Motilal Oswal Nifty 500 ETF
NSE:MONQ50,Nasdaq Q-50 Total Return Index
NSE:MOREALTY,Motilal Oswal Nifty Realty ETF
NSE:MOSMALL250,Motilal Oswal Nifty Smallcap 250 ETF
NSE:MOVALUE,Motilal Oswal S&P BSE Enhanced Value ETF
NSE:NEXT50,Nifty Next 50
NSE:NEXT50IETF,Nifty Next 50
NSE:NIF100BEES,Nifty 100 TRI
NSE:NIF100IETF,Nifty 100
NSE:NIFTY1,Nifty 50
NSE:NIFTYBEES,Nifty 50
NSE:NIFTYETF,Nifty 50
NSE:NIFTYIETF,Nifty 50
NSE:NIFTYQLITY,Aditya Birla Sun Life Nifty 200 Quality 30 ETF
NSE:NV20BEES,Nifty50 Value20 TRI
NSE:NV20IETF,Nifty50 Value 20
NSE:OILIETF,Nifty Oil & Gas Index
NSE:PHARMABEES,Nifty Pharma TRI
NSE:PSUBANK,Nifty PSU Bank
NSE:PSUBANKADD,DSP Nifty PSU Bank ETF
NSE:PSUBNKBEES,Nifty PSU Bank
NSE:PSUBNKIETF,ICICI Prudential Nifty PSU Bank ETF
NSE:PVTBANIETF,Nifty Private Bank Index
NSE:PVTBANKADD,DSP Nifty Private Bank ETF
NSE:QGOLDHALF,Gold
NSE:QUAL30IETF,ICICI Prudential Nifty 200 Quality 30 ETF
NSE:SBIETFCON,Nifty India Consumption Index
NSE:SBIETFPB,Nifty Private Bank Index
NSE:SBIETFQLTY,Nifty 200 Quality 30 Index
NSE:SBINEQWETF,Nifty50 Equal Weight
NSE:SBISILVER,SBI SILVER ETF
NSE:SENSEXADD,DSP S&P BSE Sensex ETF
NSE:SENSEXETF,Mirae Asset S&P BSE Sensex ETF
NSE:SETFGOLD,Gold
NSE:SETFNIF50,Nifty 50
NSE:SETFNIFBK,Nifty Bank
NSE:SETFNN50,Nifty Next 50
NSE:SILVER,Physical price of Silver
NSE:SILVER1,Kotak Silver ETF
NSE:SILVERADD,DSP Silver ETF
NSE:SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price
NSE:SILVERETF,UTI Silver Exchange Traded Fund (UTI Silver ETF)
NSE:SILVERIETF,Domestic Price of Silver
NSE:SILVRETF,Mirae Asset Silver ETF
NSE:SMALLCAP,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF
NSE:TATAGOLD,Tata Gold Exchange Traded Fund
NSE:TATSILV,Tata Silver Exchange Traded Fund
NSE:TNIDETF,Nifty India Digital Index
NSE:TOP100CASE,Zerodha Nifty 100 ETF
NSE:UTIBANKETF,Nifty Bank
NSE:UTINEXT50,Nifty Next 50
NSE:UTINIFTETF,Nifty 50
